,Full Series,Threshold,Extreme
R2,0.8634412974156254,-2.9847796235934374,
RMSE,0.07319383673062607,0.14341131810026286,
MAE,0.054746220477202893,0.1139821223244617,
BIAS,-0.014294318583684226,-0.0911455906210215,
SI,0.33857546020457097,0.1372207564442876,
PER,75.94496741491673,75.0,
BND_SIZE,0.15974090098221844,0.30023758818383517,
