,Full Series,Threshold,Extreme
R2,0.9154459429756332,0.49565310041826116,-0.3206384163041207
RMSE,0.062127976299955846,0.13660985539961573,0.17268330495984374
MAE,0.046169558957332366,0.10356897820717872,0.13960847624932554
BIAS,-0.0019665746717172656,-0.04767909436888403,-0.12273873892285501
SI,0.2949686662374824,0.13841353158918968,0.08994961251930614
